input file;carbon, runtime [s];carbon, exit condition;carbon, timeout;silicon, runtime [s];silicon, exit condition;silicon, timeout;silicon_timeout, runtime [s];silicon_timeout, exit condition;silicon_timeout, timeout
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;29.136206114999368;0;False;1.6190131080002175;1;False;12.59569936799926;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;25.275657619000413;0;False;1.5186802519983758;1;False;5.980225020000944;1;False
../arp-plugin/evaluation/performance/test_fast/sum1_arp_enc.sil;25.325266572001055;0;False;1.6692255369998747;1;False;6.8803352850009105;1;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;4.035541100000046;0;False;1.469052260999888;0;False;1.4760509480001929;0;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;3.675533102999907;0;False;1.1180416490005882;0;False;1.0712455979992228;0;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;3.573065577000307;0;False;0.8169979590002185;0;False;0.9176529510004912;0;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;3.374344159999964;0;False;0.7668069400006061;0;False;0.8162533679987973;0;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;3.3230848949988285;0;False;0.7167508820002695;0;False;0.7671432209990598;0;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;3.3249751670009573;0;False;0.7661988780000684;0;False;0.7668297740001435;0;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;3.27417937500104;0;False;0.8668650199997501;0;False;0.7671335989998624;0;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;3.273184403999039;0;False;0.7663337859994499;0;False;0.7161429700008739;0;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;3.276198925999779;0;False;0.7161343839998153;0;False;0.717181215999517;0;False
../arp-plugin/evaluation/performance/test_fast/predicates2_enc.sil;3.324306245000116;0;False;0.6670506859991292;0;False;0.7165572920002887;0;False
